traits  species
E_papuana_1     0
E_papuana_2     0
E_papuana_3     0
E_papuana_4     0
E_papuana_5     0
E_papuana_6     0
E_papuana_7     0
E_papuana_8     0
E_papuana_9     0
E_papuana_10    0
E_papuana_11    0
E_papuana_12    0
E_trichroa_1    1
E_trichroa_2    1
E_trichroa_3    1
E_trichroa_4    1
E_trichroa_5    1
E_trichroa_6    1
E_trichroa_7    1
E_trichroa_8    1
E_trichroa_9    1
E_trichroa_10   1
E_trichroa_11   1
E_trichroa_12   1
E_trichroa_13   1
E_trichroa_14   1
E_trichroa_15   1
E_trichroa_16   1
E_trichroa_17   1
E_trichroa_18   1
E_trichroa_19   1
E_trichroa_20   1
E_trichroa_21   1
E_trichroa_22   1
E_trichroa_23   1
E_trichroa_24   1
